what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.deploy.ftp,3.0.3.1316717122,"com.aptana.deploy.ftp",1318750011067
stopped,bundle,com.aptana.syncing.ui,3.0.3.1314828554,"com.aptana.syncing.ui",1318750011067
stopped,bundle,com.aptana.ui.secureftp,3.0.0.1308874042,"com.aptana.ui.secureftp",1318750011068
stopped,bundle,com.aptana.ui.ftp,3.0.0.1310755723,"com.aptana.ui.ftp",1318750011068
stopped,bundle,com.aptana.ui.s3,3.0.0.1304723165,"com.aptana.ui.s3",1318750011068
stopped,bundle,com.aptana.ui.io,3.0.0.1316802113,"com.aptana.ui.io",1318750011069
stopped,bundle,com.aptana.editor.text,3.0.0.1311639141,"com.aptana.editor.text",1318750011069
stopped,bundle,com.aptana.editor.yaml,3.0.0.1317304012,"com.aptana.editor.yaml",1318750011070
stopped,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1318750011070
stopped,bundle,org.python.pydev.red_core,2.2.2.2011100512,"org.python.pydev.red_core",1318750011070
stopped,bundle,com.aptana.editor.common,3.0.3.1317392484,"com.aptana.editor.common",1318750011070
stopped,bundle,com.aptana.editor.findbar,3.0.0.1310755723,"com.aptana.editor.findbar",1318750011070
stopped,bundle,com.aptana.git.ui,3.0.3.1316207015,"com.aptana.git.ui",1318750011070
stopped,bundle,com.aptana.console,3.0.0.1311641900,"com.aptana.console",1318750011070
stopped,bundle,com.aptana.formatter.epl,3.0.0.1314045086,"com.aptana.formatter.epl",1318750011071
stopped,bundle,com.aptana.index.core.ui,3.0.0.1311981533,"com.aptana.index.core.ui",1318750011071
stopped,bundle,com.aptana.scripting.ui,3.0.0.1311950158,"com.aptana.scripting.ui",1318750011071
stopped,bundle,com.aptana.deploy.capistrano,3.0.3.1310755723,"com.aptana.deploy.capistrano",1318750011071
stopped,bundle,com.aptana.deploy.engineyard,3.0.3.1316717122,"com.aptana.deploy.engineyard",1318750011071
stopped,bundle,com.aptana.deploy.heroku,3.0.3.1316717122,"com.aptana.deploy.heroku",1318750011072
stopped,bundle,com.aptana.deploy.redhat,3.0.3.1310755723,"com.aptana.deploy.redhat",1318750011072
stopped,bundle,com.aptana.terminal,3.0.0.1310755723,"com.aptana.terminal",1318750011072
stopped,bundle,com.aptana.theme,3.0.0.1314215021,"com.aptana.theme",1318750011072
stopped,bundle,com.aptana.debug.ui,3.0.3.1311124046,"com.aptana.debug.ui",1318750011073
stopped,bundle,com.aptana.documentation,3.0.0.1299780149,"com.aptana.documentation",1318750011073
stopped,bundle,com.aptana.webserver.ui,3.0.0.1310755723,"com.aptana.webserver.ui",1318750011073
stopped,bundle,com.aptana.ui,3.0.3.1314215016,"com.aptana.ui",1318750011073
stopped,bundle,com.python.pydev.codecompletion,2.2.2.2011100512,"com.python.pydev.codecompletion",1318750011074
stopped,bundle,com.python.pydev.refactoring,2.2.2.2011100512,"com.python.pydev.refactoring",1318750011074
stopped,bundle,com.python.pydev.analysis,2.2.2.2011100512,"com.python.pydev.analysis",1318750011074
stopped,bundle,com.python.pydev.debug,2.2.2.2011100512,"com.python.pydev.debug",1318750011074
stopped,bundle,com.python.pydev.fastparser,2.2.2.2011100512,"com.python.pydev.fastparser",1318750011074
stopped,bundle,com.python.pydev,2.2.2.2011100512,"com.python.pydev",1318750011075
stopped,bundle,org.python.pydev.django,2.2.2.2011100512,"org.python.pydev.django",1318750011075
stopped,bundle,org.python.pydev.customizations,2.2.2.2011100512,"org.python.pydev.customizations",1318750011075
stopped,bundle,org.python.pydev.debug,2.2.2.2011100512,"org.python.pydev.debug",1318750011075
stopped,bundle,org.python.pydev.refactoring,2.2.2.2011100512,"org.python.pydev.refactoring",1318750011075
stopped,bundle,org.python.pydev,2.2.2.2011100512,"org.python.pydev",1318750011075
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1318750011080
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1318750011080
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1318750011080
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1318750011080
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1318750011081
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318750011081
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1318750011082
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1318750011082
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1318750011083
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1318750011083
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.help.ui",1318750011083
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1318750011084
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1318750011084
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1318750011124
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1318750011192
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1318750011192
stopped,bundle,org.eclipse.dltk.console.ui,2.0.0.v20091203-1154,"org.eclipse.dltk.console.ui",1318750011193
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1318750011194
stopped,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1318750011195
stopped,bundle,com.aptana.ruby.rake,3.0.0.1308880192,"com.aptana.ruby.rake",1318750011195
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1318750011248
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1318750011249
stopped,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1318750011250
stopped,bundle,org.eclipse.rse.connectorservice.ssh,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.ssh",1318750011250
stopped,bundle,org.eclipse.rse.efs,2.1.200.v201005262000,"org.eclipse.rse.efs",1318750011251
stopped,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1318750011252
stopped,bundle,org.eclipse.rse.subsystems.files.core,3.2.0.v201005221100,"org.eclipse.rse.subsystems.files.core",1318750011253
stopped,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.shell.linux",1318750011253
stopped,bundle,org.eclipse.rse.subsystems.processes.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.processes.core",1318750011254
stopped,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1318750011255
stopped,bundle,org.python.pydev.jython,2.2.2.2011100512,"org.python.pydev.jython",1318750011256
stopped,bundle,org.python.pydev.parser,2.2.2.2011100512,"org.python.pydev.parser",1318750011256
stopped,bundle,org.python.pydev.core,2.2.2.2011100512,"org.python.pydev.core",1318750011256
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1318750011256
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1318750011256
stopped,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1318750011256
stopped,bundle,org.eclipse.wst.common.snippets,1.2.0.v201004290255,"org.eclipse.wst.common.snippets",1318750011257
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1318750011257
stopped,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1318750011257
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100614-1136,"org.eclipse.emf.edit.ui",1318750011258
stopped,bundle,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef",1318750011259
stopped,bundle,org.eclipse.emf.common.ui,2.6.0.v20100614-1136,"org.eclipse.emf.common.ui",1318750011260
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui",1318750011260
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1318750011260
stopped,bundle,org.eclipse.wst.server.discovery,1.0.100.v20100604,"org.eclipse.wst.server.discovery",1318750011261
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1318750011263
stopped,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1318750011264
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1318750011266
stopped,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1318750011266
stopped,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1318750011266
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1318750011266
stopped,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1318750011266
stopped,bundle,org.eclipse.php.help,2.2.0.v20100616-1900,"org.eclipse.php.help",1318750011267
stopped,bundle,com.aptana.browser,3.0.0.1311379722,"com.aptana.browser",1318750011267
stopped,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1318750011267
stopped,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1318750011267
stopped,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1318750011268
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1318750011268
stopped,bundle,org.eclipse.wst.common.modulecore.ui,1.0.0.v201005270700,"org.eclipse.wst.common.modulecore.ui",1318750011268
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.ui",1318750011269
stopped,bundle,org.eclipse.wst.internet.monitor.ui,1.0.405.v20100309,"org.eclipse.wst.internet.monitor.ui",1318750011269
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.launching",1318750011269
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.100.v201004290328,"org.eclipse.wst.xsl.launching",1318750011270
stopped,bundle,com.aptana.commandline.launcher,3.0.3.1312062042,"com.aptana.commandline.launcher",1318750011270
stopped,bundle,com.aptana.deploy,3.0.3.1316717271,"com.aptana.deploy",1318750011270
stopped,bundle,com.aptana.ui.epl,3.0.0.1314903249,"com.aptana.ui.epl",1318750011271
stopped,bundle,com.aptana.ui.io.epl,3.0.0.1308864319,"com.aptana.ui.io.epl",1318750011271
stopped,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1318750011314
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1318750011315
stopped,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1318750011315
stopped,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1318750011315
stopped,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1318750011316
stopped,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318750011316
stopped,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1318750011317
stopped,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1318750011317
stopped,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1318750011318
stopped,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1318750011318
stopped,bundle,org.eclipse.ui.presentations.r21,3.2.200.I20100517-1500,"org.eclipse.ui.presentations.r21",1318750011318
stopped,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1318750011319
stopped,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1318750011319
stopped,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1318750011319
stopped,bundle,com.aptana.editor.epl,3.0.0.1308864549,"com.aptana.editor.epl",1318750011320
stopped,bundle,com.aptana.ide.security.linux,2.0.0.1310755723,"com.aptana.ide.security.linux",1318750011320
stopped,bundle,com.aptana.org.eclipse.tm.terminal,3.1.0.1302559935,"com.aptana.org.eclipse.tm.terminal",1318750011321
stopped,bundle,com.aptana.scripting,3.0.0.1317942209,"com.aptana.scripting",1318750012070
error,log,,,"An error occurred while shutting down the database",1318750012649
